<S> <S>+BSTag
"Yine	yine <adv> <Dan_0> <n>
"Yine	yine <adv> <Dan_0> <n> <3s>
"Yine	yine <adv> <Dan_0> <n> <3p>
mi	<unk>
düşünüyorsun?"	<unk>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
sordu	sor <v> <t_past> <3p>
Düşes,	düşes <n> <3s>
Düşes,	düşes <n> <3p>
sivri	sivri <adj> <Djn_0> <n>
sivri	sivri <adj> <Djn_0> <n> <3s>
sivri	sivri <adj> <Djn_0> <n> <3p>
küçük	küçük <adj> <Djn_0> <n>
küçük	küçük <adj> <Djn_0> <n> <3s>
küçük	küçük <adj> <Djn_0> <n> <3p>
küçük	küçük <n>
küçük	küçük <n> <3s>
küçük	küçük <n> <3p>
çenesini	çene <n> <p3s> <acc> <3s>
çenesini	çene <n> <p3s> <acc> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
kez	kez <n> <3s>
kez	kez <n> <3p>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
daha	daha <n> <3s>
daha	daha <n> <3p>
kazıyarak.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
"Düşünmeye	düşün <v> <D_mA> <n> <dat> <3s>
"Düşünmeye	düşün <v> <D_mA> <n> <dat> <3p>
"Düşünmeye	düşün <v> <neg> <t_opt> <3s>
"Düşünmeye	düşün <v> <neg> <t_opt> <3p>
"Düşünmeye	düşün <v> <vn_ma> <dat>
"Düşünmeye	düşün <v> <vn_ma> <dat> <3s>
"Düşünmeye	düşün <v> <vn_ma> <dat> <3p>
"Düşünmeye	düşün <v> <vn_mak> <dat>
"Düşünmeye	düşün <v> <vn_mak> <dat> <3s>
"Düşünmeye	düşün <v> <vn_mak> <dat> <3p>
"Düşünmeye	düşün <v> <vinf> <dat>
hakkım	hak <n> <p1s>
hakkım	hak <n> <p1s> <3s>
hakkım	hak <n> <p1s> <3p>
var,"	var <n> <3s>
var,"	var <n> <3p>
var,"	var <v> <t_imp> <2s>
var,"	var <v> <t_imp> <3p>
var,"	var <exist> <3s>
var,"	var <exist> <3p>
dedi	de <v> <t_past> <3p>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
sertçe,	sert <adj> <D_CA> <adj> <Djn_0> <n>
sertçe,	sert <adj> <D_CA> <adj> <Djn_0> <n> <3s>
sertçe,	sert <adj> <D_CA> <adj> <Djn_0> <n> <3p>
sertçe,	sert <adj> <Djn_0> <n> <D_CA> <adj>
sertçe,	sert <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n>
sertçe,	sert <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n> <3s>
sertçe,	sert <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n> <3p>
sertçe,	sert <adj> <Djn_0> <n> <D_CA> <adv>
sertçe,	sert <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n>
