<S> <S>+BSTag
"Bugün	bugün <adv> <Dan_0> <n>
"Bugün	bugün <adv> <Dan_0> <n> <3s>
"Bugün	bugün <adv> <Dan_0> <n> <3p>
"Bugün	bugün <n>
"Bugün	bugün <n> <3s>
"Bugün	bugün <n> <3p>
Kraliçe	kraliçe <n> <3s>
Kraliçe	kraliçe <n> <3p>
ile	ile <cnjcoo>
ile	il <n> <dat>
ile	il <n> <dat> <3s>
ile	il <n> <dat> <3p>
kroket	<unk>
oynuyor	oyna <v> <t_cont> <3p>
oynuyor	oyna <v> <cv_iyor>
musun?"	<unk>
"Çok	çok <adj> <Djn_0> <n>
"Çok	çok <adj> <Djn_0> <n> <3s>
"Çok	çok <adj> <Djn_0> <n> <3p>
"Çok	çok <adv>
"Çok	çok <adv> <Dan_0> <n>
"Çok	çok <adv> <Dan_0> <n> <3s>
"Çok	çok <adv> <Dan_0> <n> <3p>
"Çok	çok <det>
isterim,"	isteri <n> <p1s> <3s>
isterim,"	isteri <n> <p1s> <3p>
isterim,"	ister <n> <1s>
isterim,"	ister <n> <p1s>
isterim,"	ister <n> <p1s> <3s>
isterim,"	ister <n> <p1s> <3p>
isterim,"	iste <v> <t_aor> <1s>
dedi	de <v> <t_past> <3p>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
Alice,	ali <n> <D_CA> <n> <3p>
"ama	ama <n> <3s>
"ama	ama <n> <3p>
"ama	ama <cnjcoo>
"ama	ama <cnjadv>
henüz	henüz <adv> <Dan_0> <n>
henüz	henüz <adv> <Dan_0> <n> <3s>
henüz	henüz <adv> <Dan_0> <n> <3p>
henüz	henüz <n>
henüz	henüz <n> <3s>
henüz	henüz <n> <3p>
davet	davet <n> <3s>
davet	davet <n> <3p>
edilmedim."	<unk>
"Orada	ora <prn> <locp> <loc> <3s>
"Orada	ora <prn> <locp> <loc> <3p>
beni	ben <prn> <pers> <p3s> <3s>
beni	ben <prn> <pers> <p3s> <3p>
beni	ben <prn> <pers> <acc>
beni	ben <prn> <pers> <acc> <3s>
beni	ben <prn> <pers> <acc> <3p>
göreceksiniz,"	gör <v> <vn_acak> <2p>
göreceksiniz,"	gör <v> <part_acak> <2p>
dedi	de <v> <t_past> <3p>
Kedi	kedi <n> <3s>
Kedi	kedi <n> <3p>
ve	ve <cnjadv>
kayboldu.	kaybol <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
buna	buna <v> <t_imp> <3p>
buna	bun <n> <dat>
buna	bun <n> <dat> <3s>
buna	bun <n> <dat> <3p>
buna	bu <prn> <dem> <dat>
buna	bu <prn> <dem> <dat> <3s>
buna	bu <prn> <dem> <dat> <3p>
pek	pek <adj> <Djn_0> <n>
pek	pek <adj> <Djn_0> <n> <3s>
pek	pek <adj> <Djn_0> <n> <3p>
pek	pek <adv>
pek	pek <adv> <Dan_0> <n>
pek	pek <adv> <Dan_0> <n> <3s>
pek	pek <adv> <Dan_0> <n> <3p>
şaşırmamıştı,	şaşır <v> <neg> <t_narr> <cpl_di> <3p>
şaşırmamıştı,	şaşır <v> <neg> <t_narr> <3p> <cpl_di>
şaşırmamıştı,	şaş <v> <caus> <neg> <t_narr> <cpl_di> <3s>
şaşırmamıştı,	şaş <v> <caus> <neg> <t_narr> <cpl_di> <3p>
şaşırmamıştı,	şaş <v> <caus> <neg> <t_narr> <3p> <cpl_di>
tuhaf	tuhaf <adj> <Djn_0> <n>
tuhaf	tuhaf <adj> <Djn_0> <n> <3s>
tuhaf	tuhaf <adj> <Djn_0> <n> <3p>
tuhaf	tuhaf <n>
tuhaf	tuhaf <n> <3s>
tuhaf	tuhaf <n> <3p>
şeylerin	şey <n> <pl> <p2s> <3s>
şeylerin	şey <n> <pl> <p2s> <3p>
şeylerin	şey <n> <pl> <gen>
şeylerin	şey <n> <pl> <gen> <3s>
şeylerin	şey <n> <pl> <gen> <3p>
olmasına	ol <v> <D_mA> <n> <p3s> <dat> <3s>
olmasına	ol <v> <D_mA> <n> <p3s> <dat> <3p>
olmasına	ol <v> <vn_ma> <p3s> <dat>
olmasına	ol <v> <vn_ma> <p3s> <dat> <3s>
olmasına	ol <v> <vn_ma> <p3s> <dat> <3p>
olmasına	ol <v> <cv_ma> <p3s> <dat>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
kadar	<unk>
alışmıştı	alış <v> <t_narr> <cpl_di> <3p>
alışmıştı	alış <v> <t_narr> <3p> <cpl_di>
ki.	ki <cnjadv>
</S> </S>+ESTag
<S> <S>+BSTag
Onun	onun <n> <3s>
Onun	onun <n> <3p>
Onun	on <n> <p2s>
Onun	on <n> <p2s> <3s>
Onun	on <n> <p2s> <3p>
Onun	on <n> <gen>
Onun	on <n> <gen> <3s>
Onun	on <n> <gen> <3p>
Onun	on <v> <t_imp> <2p>
Onun	on <num> <Dmn_0> <n> <p2s>
Onun	on <num> <Dmn_0> <n> <p2s> <3s>
Onun	on <num> <Dmn_0> <n> <p2s> <3p>
Onun	on <num> <Dmn_0> <n> <gen>
Onun	on <num> <Dmn_0> <n> <gen> <3s>
Onun	on <num> <Dmn_0> <n> <gen> <3p>
Onun	o <prn> <pers> <p2s>
Onun	o <prn> <pers> <p2s> <3s>
Onun	o <prn> <pers> <p2s> <3p>
Onun	o <prn> <pers> <gen>
Onun	o <prn> <pers> <gen> <3s>
Onun	o <prn> <pers> <gen> <3p>
bulunduğu	bulun <v> <vn_dik> <p3s> <3s>
bulunduğu	bulun <v> <vn_dik> <p3s> <3p>
bulunduğu	bulun <v> <vn_dik> <acc>
bulunduğu	bulun <v> <vn_dik> <acc> <3s>
bulunduğu	bulun <v> <vn_dik> <acc> <3p>
bulunduğu	bulun <v> <part_dik> <p3s>
bulunduğu	bulun <v> <part_dik> <p3s> <3s>
