<S> <S>+BSTag
"Boş	boş <adj> <Djn_0> <n>
"Boş	boş <adj> <Djn_0> <n> <3s>
"Boş	boş <adj> <Djn_0> <n> <3p>
"Boş	boş <adv>
"Boş	boş <adv> <Dan_0> <n>
"Boş	boş <adv> <Dan_0> <n> <3s>
"Boş	boş <adv> <Dan_0> <n> <3p>
ver!"	ver <v> <t_imp> <3p>
dedi	de <v> <t_past> <3p>
Kral,	kral <n> <3s>
Kral,	kral <n> <3p>
büyük	büyük <adj> <Djn_0> <n>
büyük	büyük <adj> <Djn_0> <n> <3s>
büyük	büyük <adj> <Djn_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
rahatlama	rahatla <v> <D_mA> <n> <3s>
rahatlama	rahatla <v> <D_mA> <n> <3p>
rahatlama	rahatla <v> <neg> <t_imp> <2s>
rahatlama	rahatla <v> <neg> <t_imp> <3p>
rahatlama	rahatla <v> <vn_ma>
rahatlama	rahatla <v> <vn_ma> <3s>
rahatlama	rahatla <v> <vn_ma> <3p>
rahatlama	rahatla <v> <cv_ma>
rahatlama	rahat <adj> <D_lA> <v> <D_mA> <n>
rahatlama	rahat <adj> <D_lA> <v> <D_mA> <n> <3s>
rahatlama	rahat <adj> <D_lA> <v> <D_mA> <n> <3p>
rahatlama	rahat <adj> <D_lA> <v> <neg> <t_imp> <2s>
rahatlama	rahat <adj> <D_lA> <v> <neg> <t_imp> <3p>
rahatlama	rahat <adj> <D_lA> <v> <vn_ma>
rahatlama	rahat <adj> <D_lA> <v> <vn_ma> <3s>
rahatlama	rahat <adj> <D_lA> <v> <vn_ma> <3p>
rahatlama	rahat <adj> <D_lA> <v> <cv_ma>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n> <3s>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n> <3p>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <neg> <t_imp> <2s>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <neg> <t_imp> <3p>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <vn_ma>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <vn_ma> <3s>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <vn_ma> <3p>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <cv_ma>
havasıyla.	havas <n> <p3s> <ins> <3s>
havasıyla.	havas <n> <p3s> <ins> <3p>
havasıyla.	hava <n> <p3s> <ins>
havasıyla.	hava <n> <p3s> <ins> <3s>
havasıyla.	hava <n> <p3s> <ins> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Bir	bir <adj> <Djn_0> <n>
"Bir	bir <adj> <Djn_0> <n> <3s>
"Bir	bir <adj> <Djn_0> <n> <3p>
"Bir	bir <num>
"Bir	bir <num> <Dmn_0> <n>
"Bir	bir <num> <Dmn_0> <n> <3s>
"Bir	bir <num> <Dmn_0> <n> <3p>
"Bir	bir <det>
sonraki	<unk>
tanığı	tanık <n> <p3s> <3s>
tanığı	tanık <n> <p3s> <3p>
tanığı	tanık <n> <acc>
tanığı	tanık <n> <acc> <3s>
tanığı	tanık <n> <acc> <3p>
çağırın."	<unk>
Ve	ve <cnjadv>
Kraliçe'ye	kraliçe <n> <dat> <3s>
Kraliçe'ye	kraliçe <n> <dat> <3p>
alçak	alçak <n> <3s>
alçak	alçak <n> <3p>
sesle	sesle <v> <t_imp> <3p>
sesle	ses <n> <D_lA> <v> <t_imp> <2s>
sesle	ses <n> <D_lA> <v> <t_imp> <3p>
sesle	ses <n> <ins>
sesle	ses <n> <ins> <3s>
sesle	ses <n> <ins> <3p>
ekledi,	ekle <v> <t_past> <3p>
ekledi,	ek <adj> <D_lA> <v> <t_past> <3s>
ekledi,	ek <adj> <D_lA> <v> <t_past> <3p>
ekledi,	ek <adj> <Djn_0> <n> <D_lA> <v> <t_past> <3s>
ekledi,	ek <adj> <Djn_0> <n> <D_lA> <v> <t_past> <3p>
ekledi,	ek <n> <D_lA> <v> <t_past> <3s>
ekledi,	ek <n> <D_lA> <v> <t_past> <3p>
"Gerçekten,	gerçekten <adv> <Dan_0> <n>
"Gerçekten,	gerçekten <adv> <Dan_0> <n> <3s>
"Gerçekten,	gerçekten <adv> <Dan_0> <n> <3p>
"Gerçekten,	gerçekte <adv> <Dan_0> <n> <p2s>
"Gerçekten,	gerçekte <adv> <Dan_0> <n> <p2s> <3s>
"Gerçekten,	gerçekte <adv> <Dan_0> <n> <p2s> <3p>
"Gerçekten,	gerçek <n> <abl>
"Gerçekten,	gerçek <n> <abl> <3s>
