<S> <S>+BSTag
"Onu	on <n> <p3s> <3s>
"Onu	on <n> <p3s> <3p>
"Onu	on <n> <acc>
"Onu	on <n> <acc> <3s>
"Onu	on <n> <acc> <3p>
"Onu	on <num> <Dmn_0> <n> <p3s>
"Onu	on <num> <Dmn_0> <n> <p3s> <3s>
"Onu	on <num> <Dmn_0> <n> <p3s> <3p>
"Onu	on <num> <Dmn_0> <n> <acc>
"Onu	on <num> <Dmn_0> <n> <acc> <3s>
"Onu	on <num> <Dmn_0> <n> <acc> <3p>
"Onu	o <prn> <pers> <p3s>
"Onu	o <prn> <pers> <p3s> <3s>
"Onu	o <prn> <pers> <p3s> <3p>
"Onu	o <prn> <pers> <acc>
"Onu	o <prn> <pers> <acc> <3s>
"Onu	o <prn> <pers> <acc> <3p>
buraya	bura <prn> <locp> <dat> <3s>
buraya	bura <prn> <locp> <dat> <3p>
ver,"	ver <v> <t_imp> <3p>
dedi	de <v> <t_past> <3p>
Dodo.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
Sonra	sonra <adv> <Dan_0> <n>
Sonra	sonra <adv> <Dan_0> <n> <3s>
Sonra	sonra <adv> <Dan_0> <n> <3p>
Sonra	sonra <n>
Sonra	sonra <n> <3s>
Sonra	sonra <n> <3p>
Sonra	sonra <postp>
Sonra	sonra <cnjadv>
hepsi	hepsi <prn> <3s>
hepsi	hepsi <prn> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
kez	kez <n> <3s>
kez	kez <n> <3p>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
daha	daha <n> <3s>
daha	daha <n> <3p>
onun	onun <n> <3s>
onun	onun <n> <3p>
onun	on <n> <p2s>
onun	on <n> <p2s> <3s>
onun	on <n> <p2s> <3p>
onun	on <n> <gen>
onun	on <n> <gen> <3s>
onun	on <n> <gen> <3p>
onun	on <v> <t_imp> <2p>
onun	on <num> <Dmn_0> <n> <p2s>
onun	on <num> <Dmn_0> <n> <p2s> <3s>
onun	on <num> <Dmn_0> <n> <p2s> <3p>
onun	on <num> <Dmn_0> <n> <gen>
onun	on <num> <Dmn_0> <n> <gen> <3s>
onun	on <num> <Dmn_0> <n> <gen> <3p>
onun	o <prn> <pers> <p2s>
onun	o <prn> <pers> <p2s> <3s>
onun	o <prn> <pers> <p2s> <3p>
onun	o <prn> <pers> <gen>
onun	o <prn> <pers> <gen> <3s>
onun	o <prn> <pers> <gen> <3p>
etrafında	etraf <n> <p2s> <loc> <3s>
etrafında	etraf <n> <p2s> <loc> <3p>
etrafında	etraf <n> <p3s> <loc>
etrafında	etraf <n> <p3s> <loc> <3s>
etrafında	etraf <n> <p3s> <loc> <3p>
toplandılar,	topla <v> <pass> <t_past> <3p>
toplandılar,	top <n> <D_lAn> <v> <t_past> <3p>
