<S> <S>+BSTag
"Oyun	oyun <n> <3s>
"Oyun	oyun <n> <3p>
"Oyun	oy <n> <p2s>
"Oyun	oy <n> <p2s> <3s>
"Oyun	oy <n> <p2s> <3p>
"Oyun	oy <n> <gen>
"Oyun	oy <n> <gen> <3s>
"Oyun	oy <n> <gen> <3p>
"Oyun	oy <v> <t_imp> <2p>
şimdi	şimdi <adv> <Dan_0> <n>
şimdi	şimdi <adv> <Dan_0> <n> <3s>
şimdi	şimdi <adv> <Dan_0> <n> <3p>
biraz	biraz <adj> <Djn_0> <n>
biraz	biraz <adj> <Djn_0> <n> <3s>
biraz	biraz <adj> <Djn_0> <n> <3p>
biraz	biraz <adv>
biraz	biraz <adv> <Dan_0> <n>
biraz	biraz <adv> <Dan_0> <n> <3s>
biraz	biraz <adv> <Dan_0> <n> <3p>
biraz	biraz <det>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
daha	daha <n> <3s>
daha	daha <n> <3p>
iyi	iyi <adj> <Djn_0> <n>
iyi	iyi <adj> <Djn_0> <n> <3s>
iyi	iyi <adj> <Djn_0> <n> <3p>
iyi	iyi <adv>
iyi	iyi <adv> <Dan_0> <n>
iyi	iyi <adv> <Dan_0> <n> <3s>
iyi	iyi <adv> <Dan_0> <n> <3p>
gidiyor,"	git <v> <t_cont> <3p>
gidiyor,"	git <v> <cv_iyor>
dedi,	de <v> <t_past> <3p>
konuşmayı	konuşma <adj> <Djn_0> <n> <acc> <3s>
konuşmayı	konuşma <adj> <Djn_0> <n> <acc> <3p>
konuşmayı	konuş <v> <D_mA> <n> <acc>
konuşmayı	konuş <v> <D_mA> <n> <acc> <3s>
konuşmayı	konuş <v> <D_mA> <n> <acc> <3p>
konuşmayı	konuş <v> <vn_ma> <acc>
konuşmayı	konuş <v> <vn_ma> <acc> <3s>
konuşmayı	konuş <v> <vn_ma> <acc> <3p>
konuşmayı	konuş <v> <vn_mak> <acc>
konuşmayı	konuş <v> <vn_mak> <acc> <3s>
konuşmayı	konuş <v> <vn_mak> <acc> <3p>
konuşmayı	konuş <v> <vinf> <p3s>
konuşmayı	konuş <v> <vinf> <acc>
biraz	biraz <adj> <Djn_0> <n>
biraz	biraz <adj> <Djn_0> <n> <3s>
biraz	biraz <adj> <Djn_0> <n> <3p>
biraz	biraz <adv>
biraz	biraz <adv> <Dan_0> <n>
biraz	biraz <adv> <Dan_0> <n> <3s>
biraz	biraz <adv> <Dan_0> <n> <3p>
biraz	biraz <det>
sürdürerek.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
"Öyle,"	öyle <adj> <Djn_0> <n>
"Öyle,"	öyle <adj> <Djn_0> <n> <3s>
"Öyle,"	öyle <adj> <Djn_0> <n> <3p>
"Öyle,"	öyle <adv>
"Öyle,"	öyle <adv> <Dan_0> <n>
"Öyle,"	öyle <adv> <Dan_0> <n> <3s>
"Öyle,"	öyle <adv> <Dan_0> <n> <3p>
"Öyle,"	öyle <ij>
dedi	de <v> <t_past> <3p>
Düşes,	düşes <n> <3s>
Düşes,	düşes <n> <3p>
"ve	ve <cnjadv>
bunun	bun <n> <p2s> <3s>
bunun	bun <n> <p2s> <3p>
bunun	bun <n> <gen>
bunun	bun <n> <gen> <3s>
bunun	bun <n> <gen> <3p>
bunun	bu <prn> <dem> <p2s>
bunun	bu <prn> <dem> <p2s> <3s>
bunun	bu <prn> <dem> <p2s> <3p>
bunun	bu <prn> <dem> <gen>
bunun	bu <prn> <dem> <gen> <3s>
bunun	bu <prn> <dem> <gen> <3p>
ahlakı	ahlak <n> <p3s> <3s>
ahlakı	ahlak <n> <p3s> <3p>
ahlakı	ahlak <n> <acc>
ahlakı	ahlak <n> <acc> <3s>
ahlakı	ahlak <n> <acc> <3p>
şudur:	şu <prn> <dem> <3p> <dir>
şudur:	şu <prn> <dem> <dir> <3p>
'Ah,	ah <n> <3s>
'Ah,	ah <n> <3p>
'Ah,	ah <ij>
dünyayı	dünya <n> <acc> <3s>
dünyayı	dünya <n> <acc> <3p>
döndüren	dön <v> <caus> <part_yan> <3s>
döndüren	dön <v> <caus> <part_yan> <3p>
aşk,	aşk <n> <3s>
aşk,	aşk <n> <3p>
aşk!"	aşk <n> <3s>
aşk!"	aşk <n> <3p>
"Birisi	birisi <prn> <3s>
"Birisi	birisi <prn> <3p>
"Birisi	biri <n> <p3s>
"Birisi	biri <n> <p3s> <3s>
"Birisi	biri <n> <p3s> <3p>
dedi,"	de <v> <t_past> <3p>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
fısıldadı	fısılda <v> <t_past> <3p>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
Alice,	ali <n> <D_CA> <n> <3p>
"herkesin	herkes <n> <p2s> <3s>
"herkesin	herkes <n> <p2s> <3p>
"herkesin	herkes <n> <gen>
"herkesin	herkes <n> <gen> <3s>
"herkesin	herkes <n> <gen> <3p>
"herkesin	herk <n> <dat> <2s>
kendi	kendi <n> <3s>
kendi	kendi <n> <3p>
kendi	kendi <prn>
kendi	kendi <prn> <3s>
kendi	kendi <prn> <3p>
işine	iş <n> <p2s> <dat> <3s>
işine	iş <n> <p2s> <dat> <3p>
işine	iş <n> <p3s> <dat>
işine	iş <n> <p3s> <dat> <3s>
işine	iş <n> <p3s> <dat> <3p>
bakmasıyla	bak <v> <D_mA> <n> <p3s> <ins> <3s>
bakmasıyla	bak <v> <D_mA> <n> <p3s> <ins> <3p>
bakmasıyla	bak <v> <vn_ma> <p3s> <ins>
bakmasıyla	bak <v> <vn_ma> <p3s> <ins> <3s>
bakmasıyla	bak <v> <vn_ma> <p3s> <ins> <3p>
yapıldığını!"	yap <v> <pass> <vn_dik> <p2s> <acc> <3s>
yapıldığını!"	yap <v> <pass> <vn_dik> <p2s> <acc> <3p>
yapıldığını!"	yap <v> <pass> <vn_dik> <p3s> <acc>
yapıldığını!"	yap <v> <pass> <vn_dik> <p3s> <acc> <3s>
yapıldığını!"	yap <v> <pass> <vn_dik> <p3s> <acc> <3p>
yapıldığını!"	yap <v> <pass> <part_dik> <p2s> <acc>
yapıldığını!"	yap <v> <pass> <part_dik> <p2s> <acc> <3s>
yapıldığını!"	yap <v> <pass> <part_dik> <p2s> <acc> <3p>
yapıldığını!"	yap <v> <pass> <part_dik> <p3s> <acc>
yapıldığını!"	yap <v> <pass> <part_dik> <p3s> <acc> <3s>
yapıldığını!"	yap <v> <pass> <part_dik> <p3s> <acc> <3p>
yapıldığını!"	yap <v> <pass> <cv_dik> <p3s> <acc>
"Ah,	ah <n> <3s>
"Ah,	ah <n> <3p>
