<S> <S>+BSTag
"Söyleyecek	söyle <v> <t_fut> <3p>
"Söyleyecek	söyle <v> <vn_acak>
"Söyleyecek	söyle <v> <vn_acak> <3s>
"Söyleyecek	söyle <v> <vn_acak> <3p>
"Söyleyecek	söyle <v> <part_acak>
"Söyleyecek	söyle <v> <part_acak> <3s>
"Söyleyecek	söyle <v> <part_acak> <3p>
"Söyleyecek	söyle <v> <cv_acak>
"Söyleyecek	söyle <v> <cv_ecek>
önemli	önem <n> <D_lI> <adj> <Djn_0> <n>
önemli	önem <n> <D_lI> <adj> <Djn_0> <n> <3s>
önemli	önem <n> <D_lI> <adj> <Djn_0> <n> <3p>
önemli	önem <n> <D_lI> <n>
önemli	önem <n> <D_lI> <n> <3s>
önemli	önem <n> <D_lI> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şeyim	şey <n> <p1s>
şeyim	şey <n> <p1s> <3s>
şeyim	şey <n> <p1s> <3p>
var!"	var <n> <3s>
var!"	var <n> <3p>
var!"	var <v> <t_imp> <2s>
var!"	var <v> <t_imp> <3p>
var!"	var <exist> <3s>
var!"	var <exist> <3p>
Bu	bu <prn> <dem> <3s>
Bu	bu <prn> <dem> <3p>
Bu	bu <det>
kesinlikle	kesin <adj> <D_lIK> <n> <D_lA> <v> <t_imp> <3p>
kesinlikle	kesin <adj> <D_lIK> <n> <ins>
kesinlikle	kesin <adj> <D_lIK> <n> <ins> <3s>
kesinlikle	kesin <adj> <D_lIK> <n> <ins> <3p>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <D_lA> <v> <t_imp> <2s>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <D_lA> <v> <t_imp> <3p>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins> <3s>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins> <3p>
umut	umut <n> <3s>
umut	umut <n> <3p>
verici	verici <n> <3s>
verici	verici <n> <3p>
verici	veri <n> <D_CI> <adj>
verici	veri <n> <D_CI> <adj> <Djn_0> <n>
verici	veri <n> <D_CI> <adj> <Djn_0> <n> <3s>
verici	veri <n> <D_CI> <adj> <Djn_0> <n> <3p>
verici	veri <n> <D_CI> <n>
verici	veri <n> <D_CI> <n> <3s>
