<S> <S>+BSTag
"Şimdi,	şimdi <adv> <Dan_0> <n>
"Şimdi,	şimdi <adv> <Dan_0> <n> <3s>
"Şimdi,	şimdi <adv> <Dan_0> <n> <3p>
sana	san <n> <dat> <3s>
sana	san <n> <dat> <3p>
sana	san <v> <t_opt> <3s>
sana	san <v> <t_opt> <3p>
sana	sen <prn> <pers> <dat>
sana	sen <prn> <pers> <dat> <3s>
sana	sen <prn> <pers> <dat> <3p>
adil	adil <n> <3s>
adil	adil <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
uyarı	uyarı <n> <3s>
uyarı	uyarı <n> <3p>
veriyorum,"	<unk>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
bağırdı	bağır <n> <cpl_di> <3p>
bağırdı	bağır <n> <3p> <cpl_di>
bağırdı	bağır <v> <t_past> <3s>
bağırdı	bağır <v> <t_past> <3p>
Kraliçe,	kraliçe <n> <3s>
Kraliçe,	kraliçe <n> <3p>
konuşurken	konuş <v> <t_aor> <3p> <cpl_ken>
yere	yer <n> <dat> <3s>
yere	yer <n> <dat> <3p>
yere	yer <v> <t_opt> <3s>
yere	yer <v> <t_opt> <3p>
vurarak;	<unk>
"ya	ya <cnjcoo>
"ya	ya <cnjadv>
sen	sen <prn> <pers> <3s>
sen	sen <prn> <pers> <3p>
ya	ya <cnjcoo>
ya	ya <cnjadv>
da	<unk>
kafan	kafa <n> <p2s> <3s>
kafan	kafa <n> <p2s> <3p>
kopmuş	kop <v> <t_narr> <3p>
kopmuş	kop <v> <cv_mis>
olmalı,	ol <v> <D_mA> <n> <D_lI> <adj> <Djn_0> <n>
olmalı,	ol <v> <D_mA> <n> <D_lI> <adj> <Djn_0> <n> <3s>
olmalı,	ol <v> <D_mA> <n> <D_lI> <adj> <Djn_0> <n> <3p>
olmalı,	ol <v> <D_mA> <n> <D_lI> <n>
olmalı,	ol <v> <D_mA> <n> <D_lI> <n> <3s>
olmalı,	ol <v> <D_mA> <n> <D_lI> <n> <3p>
olmalı,	ol <v> <t_obl> <3s>
olmalı,	ol <v> <t_obl> <3p>
ve	ve <cnjadv>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
da	<unk>
yaklaşık	yaklaşık <n> <3s>
yaklaşık	yaklaşık <n> <3p>
yarım	yarım <n> <3s>
yarım	yarım <n> <3p>
yarım	yarı <adj> <Djn_0> <n> <p1s>
yarım	yarı <adj> <Djn_0> <n> <p1s> <3s>
yarım	yarı <adj> <Djn_0> <n> <p1s> <3p>
yarım	yarı <n> <p1s>
yarım	yarı <n> <p1s> <3s>
yarım	yarı <n> <p1s> <3p>
yarım	yar <n> <1s>
yarım	yar <n> <p1s>
yarım	yar <n> <p1s> <3s>
yarım	yar <n> <p1s> <3p>
saat	saat <n> <3s>
saat	saat <n> <3p>
içinde!	içinde <adv> <Dan_0> <n>
içinde!	içinde <adv> <Dan_0> <n> <3s>
içinde!	içinde <adv> <Dan_0> <n> <3p>
içinde!	iç <adj> <Djn_0> <n> <p2s> <loc>
içinde!	iç <adj> <Djn_0> <n> <p2s> <loc> <3s>
içinde!	iç <adj> <Djn_0> <n> <p2s> <loc> <3p>
içinde!	iç <adj> <Djn_0> <n> <p3s> <loc>
içinde!	iç <adj> <Djn_0> <n> <p3s> <loc> <3s>
içinde!	iç <adj> <Djn_0> <n> <p3s> <loc> <3p>
içinde!	iç <n> <p2s> <loc>
içinde!	iç <n> <p2s> <loc> <3s>
